Class,Mod Name,Acc,AUC,AUPRC,Precision,Recall,F1,MCC,Sn,Sp,TP,TN,FP,FN,Optimal_Threshold
0 (Am),Am,0.6825,0.7543,0.7003,0.6155,0.9726,0.7539,0.4481,0.9726,0.3924,461,186,288,13,0.220
1 (Atol),Atol,1.0000,1.0000,1.0000,1.0000,0.9999,1.0000,0.9999,0.9999,1.0000,14830,14831,0,1,0.260
2 (Cm),Cm,0.7304,0.8223,0.7931,0.6743,0.8915,0.7678,0.4868,0.8915,0.5694,501,320,242,61,0.330
3 (Gm),Gm,0.6935,0.7707,0.7553,0.6443,0.8641,0.7382,0.4118,0.8641,0.5230,375,227,207,59,0.320
4 (Tm),Tm,0.7128,0.8373,0.8201,0.6381,0.9833,0.7739,0.5060,0.9833,0.4422,647,291,367,11,0.250
5 (Y),Y,0.7401,0.8204,0.8152,0.7327,0.7561,0.7442,0.4805,0.7561,0.7241,3541,3391,1292,1142,0.170
6 (ac4C),ac4C,0.8137,0.8644,0.8143,0.8071,0.8243,0.8156,0.6275,0.8243,0.8031,971,946,232,207,0.360
7 (m1A),m1A,0.7399,0.8146,0.7819,0.6703,0.9443,0.7841,0.5258,0.9443,0.5356,4388,2489,2158,259,0.150
8 (m5C),m5C,0.7366,0.8191,0.7988,0.6913,0.8549,0.7645,0.4870,0.8549,0.6183,813,588,363,138,0.310
9 (m6A),m6A,0.8281,0.8589,0.7696,0.7633,0.9512,0.8470,0.6771,0.9512,0.7050,25560,18945,7926,1311,0.120
10 (m6Am),m6Am,0.7811,0.8649,0.8386,0.7284,0.8966,0.8038,0.5778,0.8966,0.6657,598,444,223,69,0.430
11 (m7G),m7G,0.7770,0.8697,0.8499,0.7328,0.8720,0.7964,0.5643,0.8720,0.6821,395,309,144,58,0.280
