Class,Name,Top-1,Top-3,Top-5,Top-7,Top-10,Top-20,Top-50
0,Am,0.9620,0.9810,0.9810,0.9873,0.9873,0.9895,0.9916
1,Atol,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2,Cm,0.9875,0.9964,0.9964,0.9964,0.9964,0.9964,0.9982
3,Gm,0.9770,0.9793,0.9793,0.9816,0.9816,0.9839,0.9954
4,Tm,0.9924,0.9954,0.9954,0.9954,0.9954,0.9970,1.0000
5,Y,0.4382,0.8606,0.9374,0.9619,0.9751,0.9848,0.9910
6,ac4C,0.6910,0.7088,0.7233,0.7394,0.7555,0.8056,0.9049
7,m1A,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
8,m5C,0.9716,0.9737,0.9758,0.9758,0.9784,0.9816,0.9932
9,m6A,0.7602,0.8131,0.8525,0.8835,0.9180,0.9725,0.9915
10,m6Am,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
11,m7G,0.6534,0.6755,0.6799,0.6821,0.6887,0.7329,0.8102
