Class,Mod Name,Acc,AUC,AUPRC,Precision,Recall,F1,MCC,Sn,Sp,TP,TN,FP,FN,Optimal_Threshold
0 (Am),Am,0.8386,0.8895,0.8456,0.7892,0.9241,0.8513,0.6873,0.9241,0.7532,438,357,117,36,0.380
1 (Atol),Atol,0.9979,0.9989,0.9981,0.9959,0.9999,0.9979,0.9958,0.9999,0.9959,14829,14770,61,2,0.900
2 (Cm),Cm,0.9626,0.9726,0.9244,0.9530,0.9733,0.9630,0.9255,0.9733,0.9520,547,535,27,15,0.730
3 (Gm),Gm,0.9516,0.9654,0.9248,0.9495,0.9539,0.9517,0.9032,0.9539,0.9493,414,412,22,20,0.770
4 (Tm),Tm,0.9749,0.9857,0.9808,0.9728,0.9772,0.9750,0.9499,0.9772,0.9726,643,640,18,15,0.820
5 (Y),Y,0.6830,0.7758,0.8024,0.6151,0.9780,0.7552,0.4533,0.9780,0.3880,4580,1817,2866,103,0.060
6 (ac4C),ac4C,0.9423,0.9639,0.9433,0.9122,0.9788,0.9443,0.8869,0.9788,0.9058,1153,1067,111,25,0.140
7 (m1A),m1A,0.9325,0.9738,0.9729,0.9343,0.9305,0.9324,0.8651,0.9305,0.9346,4324,4343,304,323,0.300
8 (m5C),m5C,0.9716,0.9848,0.9731,0.9746,0.9685,0.9715,0.9432,0.9685,0.9748,921,927,24,30,0.650
9 (m6A),m6A,0.9416,0.9845,0.9789,0.9128,0.9764,0.9436,0.8854,0.9764,0.9068,26238,24366,2505,633,0.200
10 (m6Am),m6Am,0.9903,0.9901,0.9826,0.9809,1.0000,0.9903,0.9807,1.0000,0.9805,667,654,13,0,0.050
11 (m7G),m7G,0.9492,0.9751,0.9643,0.9414,0.9581,0.9497,0.8986,0.9581,0.9404,434,426,27,19,0.380
