Class,Name,Top-1,Top-3,Top-5,Top-7,Top-10,Top-20,Top-50
0,Am,0.0042,0.0063,0.0084,0.0148,0.0253,0.0802,0.1835
1,Atol,0.0055,0.0153,0.0268,0.0377,0.0552,0.1144,0.3054
2,Cm,0.0000,0.0000,0.0000,0.0000,0.0018,0.0053,0.0231
3,Gm,0.0000,0.0046,0.0069,0.0092,0.0138,0.0138,0.0207
4,Tm,0.0046,0.0076,0.0091,0.0091,0.0091,0.0091,0.0167
5,Y,0.2759,0.4940,0.5709,0.6060,0.6411,0.6828,0.7180
6,ac4C,0.0000,0.0000,0.0000,0.0008,0.0017,0.0076,0.0424
7,m1A,0.0019,0.0062,0.0153,0.0211,0.0312,0.0676,0.1739
8,m5C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0168
9,m6A,0.0176,0.0761,0.1457,0.2141,0.3092,0.5477,0.8265
10,m6Am,0.0000,0.0045,0.0090,0.0195,0.0345,0.1514,0.5922
11,m7G,0.0000,0.0000,0.0000,0.0000,0.0000,0.0110,0.0309
