Class,Mod Name,Acc,AUC,AUPRC,Precision,Recall,F1,MCC,Sn,Sp,TP,TN,FP,FN,Optimal_Threshold
0 (Am),Am,0.6760,0.7184,0.6558,0.6113,0.9669,0.7490,0.4327,0.9669,0.3851,467,186,297,16,0.410
1 (Atol),Atol,0.9649,0.9333,0.8170,0.9344,1.0000,0.9661,0.9321,1.0000,0.9298,14831,13790,1041,0,0.640
2 (Cm),Cm,0.5841,0.4520,0.4499,0.5467,0.9854,0.7032,0.2819,0.9854,0.1828,539,100,447,8,0.210
3 (Gm),Gm,0.5000,0.2776,0.3788,0.5000,1.0000,0.6667,0.0000,1.0000,0.0000,442,0,442,0,0.050
4 (Tm),Tm,0.6746,0.7362,0.6605,0.6129,0.9479,0.7444,0.4170,0.9479,0.4012,619,262,391,34,0.310
5 (Y),Y,0.6754,0.7267,0.7174,0.6570,0.7342,0.6934,0.3533,0.7342,0.6167,475,399,248,172,0.220
6 (ac4C),ac4C,0.6995,0.6808,0.6345,0.6558,0.8396,0.7364,0.4156,0.8396,0.5594,989,659,519,189,0.230
7 (m1A),m1A,0.7060,0.7410,0.6748,0.6326,0.9830,0.7698,0.4950,0.9830,0.4291,4568,1994,2653,79,0.090
8 (m5C),m5C,0.6003,0.5591,0.5422,0.5567,0.9853,0.7114,0.3144,0.9853,0.2153,938,205,747,14,0.140
9 (m6A),m6A,0.5000,0.3018,0.4816,0.5000,1.0000,0.6667,0.0000,1.0000,0.0000,20616,0,20616,0,0.050
10 (m6Am),m6Am,0.6784,0.7042,0.6338,0.6088,0.9985,0.7564,0.4645,0.9985,0.3583,666,239,428,1,0.190
11 (m7G),m7G,0.7285,0.7500,0.7160,0.7244,0.7376,0.7309,0.4571,0.7376,0.7195,326,318,124,116,0.310
